Aired,Aired
1998-04-03,4/3/1998
2001-09-01,9/1/2001
1998-04-01,4/1/1998
2002-07-02,7/2/2002
2004-09-30,9/30/2004
2005-04-06,4/6/2005
2005-04-15,4/15/2005
2002-09-11,9/11/2002
2004-04-17,4/17/2004
2004-04-07,4/7/2004
2002-10-03,10/3/2002
1999-10-20,10/20/1999
2001-10-10,10/10/2001
2004-10-06,10/6/2004
2004-10-05,10/5/2004
2004-10-06,10/6/2004
2003-04-17,4/17/2003
2005-04-29,4/29/2005
2004-10-12,10/12/2004
2004-10-08,10/8/2004
1995-10-04,10/4/1995
1997-03-15,3/15/1997
1997-07-19,7/19/1997
1997-10-08,10/8/1997
1995-11-18,11/18/1995
1999-02-20,2/20/1999
1996-01-10,1/10/1996
1997-12-20,12/20/1997
1988-07-16,7/16/1988
2002-04-04,4/4/2002
1993-02-21,2/21/1993
2005-01-07,1/7/2005
2000-05-25,5/25/2000
2001-04-01,4/1/2001
2002-04-11,4/11/2002
2004-04-17,4/17/2004
1999-04-05,4/5/1999
2003-10-02,10/2/2003
2004-10-07,10/7/2004
1999-10-08,10/8/1999
2002-04-03,4/3/2002
2003-11-25,11/25/2003
2003-04-03,4/3/2003
2003-07-05,7/5/2003
2004-07-11,7/11/2004
2004-10-08,10/8/2004
2005-10-21,10/21/2005
2002-04-09,4/9/2002
2005-04-13,4/13/2005
2005-10-07,10/7/2005
2005-10-05,10/5/2005
2002-01-08,1/8/2002
2003-08-26,8/26/2003
2005-07-14,7/14/2005
2004-10-30,10/30/2004
2004-07-05,7/5/2004
2004-10-03,10/3/2004
2005-10-02,10/2/2005
2005-07-08,7/8/2005
1979-04-07,4/7/1979
1996-01-25,1/25/1996
1989-03-25,3/25/1989
1998-08-01,8/1/1998
1991-05-23,5/23/1991
1985-03-02,3/2/1985
1986-03-01,3/1/1986
1988-03-12,3/12/1988
1991-03-16,3/16/1991
1993-04-02,4/2/1993
1995-04-07,4/7/1995
1997-01-25,1/25/1997
1996-04-05,4/5/1996
2002-10-05,10/5/2002
2004-10-09,10/9/2004
1999-04-09,4/9/1999
1994-04-01,4/1/1994
2003-04-08,4/8/2003
2004-09-30,9/30/2004
2005-10-07,10/7/2005
2001-04-04,4/4/2001
2005-01-07,1/7/2005
2004-04-03,4/3/2004
1994-01-07,1/7/1994
2000-04-20,4/20/2000
2000-04-11,4/11/2000
1996-09-08,9/8/1996
2002-05-15,5/15/2002
2004-01-21,1/21/2004
2004-04-07,4/7/2004
1997-04-27,4/27/1997
1999-04-09,4/9/1999
2004-01-12,1/12/2004
2003-04-03,4/3/2003
2003-10-03,10/3/2003
1998-01-08,1/8/1998
1995-10-06,10/6/1995
1995-05-26,5/26/1995
1997-03-21,3/21/1997
2004-10-03,10/3/2004
2001-07-05,7/5/2001
2003-10-04,10/4/2003
2002-04-06,4/6/2002
1995-04-06,4/6/1995
2001-12-21,12/21/2001
2004-10-06,10/6/2004
2005-04-07,4/7/2005
2000-04-03,4/3/2000
2002-04-24,4/24/2002
2000-04-04,4/4/2000
2003-10-02,10/2/2003
2004-04-02,4/2/2004
2002-10-05,10/5/2002
2003-07-12,7/12/2003
2003-10-09,10/9/2003
2001-10-10,10/10/2001
1999-10-16,10/16/1999
2002-01-17,1/17/2002
2003-02-05,2/5/2003
2004-03-03,3/3/2004
2005-01-06,1/6/2005
1999-02-13,2/13/1999
2004-10-02,10/2/2004
2002-01-31,1/31/2002
1998-10-02,10/2/1998
2004-04-02,4/2/2004
2003-10-05,10/5/2003
2004-01-20,1/20/2004
2005-04-07,4/7/2005
2005-10-08,10/8/2005
2004-07-24,7/24/2004
2005-10-07,10/7/2005
2002-04-09,4/9/2002
2001-07-04,7/4/2001
1996-08-03,8/3/1996
2001-10-03,10/3/2001
2005-01-06,1/6/2005
2004-01-08,1/8/2004
2004-04-07,4/7/2004
1999-10-14,10/14/1999
2003-10-08,10/8/2003
2002-04-07,4/7/2002
1999-04-03,4/3/1999
1997-07-12,7/12/1997
2002-01-21,1/21/2002
2004-06-12,6/12/2004
2003-04-08,4/8/2003
2001-07-04,7/4/2001
2003-10-10,10/10/2003
1993-10-16,10/16/1993
